Name,Count
Drake,53
Taylor Swift,39
Ed Sheeran,34
Bad Bunny,28
Post Malone,23
Billie Eilish,22
Kendrick Lamar,21
Olivia Rodrigo,20
The Weeknd,20
BTS,18
Ariana Grande,17
Harry Styles,16
XXXTENTACION,13
J. Cole,13
SZA,12
Lil Uzi Vert,11
21 Savage,11
Justin Bieber,11
Adele,11
Eminem,11
Imagine Dragons,10
Lil Nas X,10
Khalid,10
The Chainsmokers,9
Shawn Mendes,8
Dua Lipa,8
Juice WRLD,8
Travis Scott,8
BLACKPINK,8
Doja Cat,8
Maluma,7
Tyler  The Creator,7
Cardi B,7
Sam Smith,7
Marshmello,7
Queen,6
Lady Gaga,6
Calvin Harris,6
Camila Cabello,6
Ozuna,6
Bruno Mars,6
Lauv,5
Selena Gomez,5
Mariah Carey,5
Maroon 5,5
Charlie Puth,5
J Balvin,4
Pop Smoke,4
Mac Miller,4
Halsey,4
Bazzi,4
The Kid LAROI,4
Daddy Yankee,4
Ava Max,4
Nicky Jam,4
Band Aid,3
Beyoncé,3
Kygo,3
David Guetta,3
Brenda Lee,3
DJ Snake,3
Polo G,3
Wham!,3
Glass Animals,3
Rauw Alejandro,3
Paul McCartney,3
Måneskin,3
Chris Rea,3
Danny Ocean,3
Rita Ora,3
Farruko,3
Andy Williams,3
Michael Bublé,3
Lil Baby,3
21 Savage,3
James Arthur,3
Jonas Brothers,3
Kanye West,3
Piso 21,3
Avicii,3
Zedd,3
Kodak Black,3
Anuel AA,3
benny blanco,3
